,RA,DEC,Z,AGN_TYPE,plateifu,r_band_abs_mag,SDSS_HA_EW,log_SFR_Ha,log_OI_Ha_cen,log_SII_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen,SDSS_HA_EW_ERR,OIII_5007_LUM_DERRED,Re_kpc,Re_arc,PA,ellip,log_Mass,gz2_class,Edge on frac,Face on frac
65,123.3306,46.1472,0.054,1,9487-3702,-21.15,51.42354,-0.517777342734526,-1.34128345906054,-0.225141751398162,0.959628273810003,0.0759043364049462,0.4381508,3.996856522484769e+41,3.11372946269357,3.01012,204.887,0.67160212049695,10.98,Ei,0.0,1.0
66,241.4528,30.7171,0.055,2,9032-12702,-21.27,18.833597,0.255308198275071,-1.44315806331008,0.108895485751138,0.761400309395686,0.058043289860013,0.25581065,3.9058945915007035e+41,5.75201008118641,5.40454,119.9673,0.578790889202655,11.04,SBb2m(r),0.03,0.97
67,159.3485,2.3126,0.04,2,10837-9102,-21.62,5.3867545,0.504486296095939,-1.22932179057861,0.0468539489230495,0.289193482487264,-0.0791131356462517,0.12177272,3.870468562793532e+41,5.47056730787421,6.977378,257.81787,0.883522616047688,11.22,Sb(m),0.05,0.95
68,246.8421,39.1096,0.033,2,12674-12703,-21.33,25.243889,0.732982906316283,-1.57069469338713,-0.209407953336136,0.677395940879343,-0.00508398296988592,0.2628375,3.7377070147034906e+41,5.7979257723022,8.913908,240.62833,0.54926519366003,11.13,Sc4t,0.0,1.0
69,126.0844,20.5333,0.02,2,9489-6104,-19.53,9.232456,-0.331698684635556,-1.75905802967393,-0.218925587979677,0.733664475626574,-0.0557744826244294,0.15423971,3.5264402640748654e+41,2.3534225527937,5.91191,176.1924,0.71429767956784,10.3,Sb(r),0.05,0.95
70,246.6705,14.3788,0.048,2,8609-6103,-20.54,23.788858,0.0739551547877656,-1.13777369560836,-0.0512146052789203,1.02422545157386,-0.0370265890565632,0.27311617,3.4135982314696876e+41,3.25853775210914,3.51297,214.096,0.643791448839607,10.58,SBc?t,0.03,0.97
71,328.2461,-0.1509,0.028,2,12066-6103,-20.36,22.04953,-0.108161025249253,-1.47250259533445,-0.243871941050434,1.10625523922046,0.0177918755253002,0.16943052,3.4135224012330685e+41,3.309266581563,6.047485,145.679504,0.688982580092988,10.76,Sb,0.05,0.95
72,120.9967,23.7557,0.029,2,9503-6102,-20.65,23.930786,-0.167088818468678,-1.37000924098631,-0.209405859291135,0.686133543403239,-0.123654673561194,0.2622309,3.3222810045164673e+41,3.55183753778574,6.08154,266.568,0.425160447450136,10.83,Er(r),0.0,1.0
73,243.2568,37.2875,0.07,1,11944-12704,-22.06,352.55435,0.931189708592211,-1.76817215962388,-0.35546361557963,0.729282287604584,-0.166657260490444,1.0649667,3.2096185600048482e+41,12.5324532643672,9.554057,217.79849,0.45808265960178,11.29,SBb2m,0.03,0.97
74,258.1185,35.8841,0.026,1,8614-12703,-20.66,59.159916,-0.245007301727598,-1.53423555776258,-0.270515805954439,0.987146663361431,-0.12978316857716,0.374175,3.0431345912747434e+41,4.85738044417476,9.15991,196.669,0.471110877102196,10.89,-9999,0.0,1.0
75,168.9478,50.4016,0.047,2,8947-3701,-20.02,20.85044,-0.394621609450459,-1.67714533809566,-0.310379146179342,0.86487450936001,-0.429322695624464,0.28702918,2.9898899036018404e+41,2.44662066519289,2.67144,118.0612,0.817449692641694,10.35,Ec,0.0,1.0
76,241.9447,25.5375,0.041,2,9091-3704,-19.99,44.76224,0.111934959117896,-1.23942415808093,-0.284875690782874,0.872821095599101,-0.524667774202886,0.4309205,2.9606644769597452e+41,1.66794634060548,2.10069,113.8153,0.381058326767701,10.58,Er,0.0,1.0
