RA,DEC,Z,plateifu,ellip,log_OIII_Hb_cen,log_NII_Ha_cen,log_SII_Ha_cen,log_Mass,gz2_class,r_band_abs_mag,Edge on frac,Face on frac,check,source num
231.0352,29.8821,0.114,b'9890-3701                       ',0.43,0.019479305,-0.097079063,-0.450814617,11.65,Er(o),-23.01,0,1,TRUE,19
117.87,27.2021,0.095,b'8147-12702                      ',0.61,0.037211529,-0.955084122,,11.44,Sc,-22.01,0,1,TRUE,21
164.6825,22.0114,0.091,b'8448-12701                      ',0.61,-0.231766315,-0.0627497,-0.295151841,11.49,Sc,-22.08,0,1,TRUE,22
41.5211,-0.651,0.044,8079-3701,0.41,-0.231040202,-0.796987108,,10.54,Er,-20.48,0,1,TRUE,23
248.5075,41.3479,0.028,b'8978-3701                       ',0.6,-0.6733456,-0.33100588,-0.569620973,10.5,Sb2l(r),-20.39,0,1,TRUE,24
133.3662,4.3197,0.096,10840-12701,0.78,0.027922484,-0.073277568,0.209567195,11.59,Sb(m),-22.42,0,1,TRUE,25
250.1167,39.3201,0.03,b'8588-6102                       ',0.61,0.120897075,-0.103097914,-0.317972103,11.19,Er,-21.7,0,1,TRUE,26
129.5229,4.3284,0.047,b'9511-12701                      ',0.88,-0.075318074,-0.21233035,-0.316473189,11.15,Ser,-21.34,0.88,0.12,TRUE,27
166.622,41.0362,0.099,b'8256-3704                       ',0.72,0.125948157,-0.11311856,-0.453974702,11.46,Ei,-22.56,0.25,0.75,TRUE,28
136.3755,3.473,0.028,10512-6102,0.8,-0.029672587,-0.359328265,-0.389562941,10.46,Ser(u),-19.67,0.55,0.45,TRUE,29
125.7362,45.4859,0.047,b'8725-6103                       ',0.69,0.055661412,-0.465296245,-0.306534718,11.39,Ei,-21.89,0,1,TRUE,30
177.218,51.5522,0.133,b'8991-6102                       ',0.33,0.179497567,-0.443908962,-0.389608499,11.7,Er,-22.95,0,1,TRUE,31
229.3089,44.018,0.122,b'8552-9102                       ',0.33,-0.097472119,-0.032578116,-0.00802821,11.45,Sb,-22.62,0,1,TRUE,32
136.824,16.671,0.077,b'8248-9102                       ',0.44,0.160375552,-0.301610944,,11.33,Sb,-21.89,0.17,0.83,TRUE,34
229.3089,44.018,0.122,b'8552-9102                       ',0.33,-0.097472119,-0.032578116,-0.00802821,11.45,Sb,-22.62,0,1,TRUE,35
139.8638,33.7909,0.019,10504-9101,0.81,-0.418402207,-0.258090698,-0.581666848,10.48,Ei,-19.27,0.15,0.85,TRUE,36
241.4861,40.1547,0.13,b'8314-6103                       ',0.56,-0.431437656,-0.099437148,-0.439258347,11.64,Ei,-22.84,0,1,TRUE,37
313.0933,0.0757,0.03,b'9191-12702                      ',0.59,-0.460246661,-0.420257434,-0.726361136,11.14,Sb3t,-21.18,0,1,TRUE,38
322.242,-0.3424,0.03,b'8616-3704                       ',0.8,-0.552126356,-0.256842363,-0.55454782,10.45,Sb,-19.94,0.04,0.96,TRUE,39
327.8253,-0.957,0.027,12066-6101,0.61,-0.254211047,-0.228412889,-0.519924568,10.9,Ei,-21.13,0.06,0.94,TRUE,41
210.6022,51.687,0.041,11016-1902,0.3,-0.326341119,-0.197774608,-0.892796997,10.91,Er,-21.63,0,1,TRUE,43
19.7234,-1.002,0.045,12075-9101,0.65,-0.158426254,-0.017403386,-0.873327858,11.61,Ei,-22.19,0.17,0.83,TRUE,44
127.131,26.3487,0.053,b'9508-6101                       ',0.5,-0.399101372,-0.360232265,-0.512007186,10.85,Sc?t(r),-21.32,0,1,TRUE,45
131.8838,53.9053,0.047,b'8243-6104                       ',0.49,-0.263740625,-0.155150506,-0.549475416,11.32,Er,-21.73,0,1,TRUE,46
141.9236,3.9942,0.062,10841-9102,0.5,0.35082403,-0.506808063,-0.768128119,11.48,Er,-22.32,0.16,0.84,TRUE,47
139.7475,31.8613,0.062,11749-3702,0.44,0.040862446,-0.087247889,-0.329819384,11.44,SBb3m,-22.17,0,1,TRUE,48
240.4751,31.8921,0.045,b'9032-12701                      ',0.79,-0.438194207,-0.206164817,-0.605515619,11.23,SBb2m(r),-21.35,0,1,TRUE,49
118.4911,14.6996,0.048,11743-1901,0.54,-0.58637409,-0.398463539,-0.550305679,10.65,Sb,-20.85,0,1,TRUE,50
128.9514,25.5753,0.044,b'9507-3704                       ',0.67,-0.307789517,-0.56889666,-0.406227888,10.31,Ei,-20.26,1,0,TRUE,51
191.5808,40.5411,0.037,11750-1902,0.45,0.192016303,-0.320471804,-0.303241968,9.91,Er,-19.06,0,1,TRUE,52
167.9446,52.1174,0.026,b'9001-6104                       ',0.77,-0.071093114,-0.09966992,-0.369826978,10.53,SBb2m,-20.31,0.05,0.95,TRUE,53
146.9174,1.6001,0.031,11753-1901,0.57,-0.412316591,-0.408625626,-0.580057027,10.59,Ei,-20.63,0,1,TRUE,54
139.6468,33.868,0.024,10506-6101,0.5,-0.47685581,-0.451562395,-0.796816943,10.51,Ei,-19.89,0,1,TRUE,55
255.4412,24.9243,0.05,11977-9102,0.84,0.050887731,-0.114813284,-0.062308864,10.67,Sc?m,-20.7,0.5,0.5,TRUE,56
153.2319,46.4177,0.038,b'8453-3701                       ',0.88,0.036761745,-0.414017354,,11.03,Ec,-21.36,0.65,0.34,TRUE,57
257.5822,56.7573,0.033,7991-6101,0.36,-0.162339909,-0.025022495,-0.556372167,10.75,Er(r),-20.59,0.02,0.98,TRUE,58
256.2386,63.8133,0.016,11983-3701,0.56,0.047555695,-0.758445706,-0.426101618,9.37,Er,-18.24,0,1,TRUE,59
249.3024,44.0855,0.033,b'9026-1902                       ',0.44,0.018671197,-0.292068566,-0.299600383,10.31,Ei,-20.01,0,1,TRUE,60
183.6598,43.5362,0.024,b'8262-3702                       ',0.59,-0.030690092,-0.529727508,-0.361509295,10.37,Sb(r),-20.35,0,1,TRUE,61
119.1688,16.9201,0.029,10218-3704,0.59,-0.158889334,-0.265339546,-0.556511177,10.75,Sb2m,-20.85,0,1,TRUE,62
