num,RA,DEC,Z,plateifu,Broad,AGN Type,ellip,log_Mass,gz2_class,Edge on frac,Face on frac,log_OI_Ha_cen,log_SII_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen
59,122.9387,23.4738,0.016,9495-1901,,2,0.35,9.47,Er,0,1,-1.253315075,-0.348477929,0.664567347,-0.58011441
60,126.0154,51.9043,0.031,10493-3704,,2,0.41,10.43,Ei,0,1,-1.598244371,-0.238794489,0.88913809,-0.170453741
61,126.0844,20.5332,0.02,9489-6104,,2,0.71,10.3,Sb(r),0.05,0.95,-1.75905803,-0.218925588,0.733664476,-0.055774483
62,127.1078,25.0146,0.029,9508-3704,,2,0.68,10.79,Sb2m,0.06,0.94,-1.755521532,-0.070784614,1.05629409,0.189558552
63,127.7849,30.8956,0.074,11746-12704,,2,0.82,11.17,SBc2m,0.03,0.97,-1.242784476,-0.023699594,0.906871178,0.07483497
64,129.3121,4.6959,0.047,9511-12704,,2,0.43,11.11,Sb?t(r),0.06,0.94,-1.328671709,-0.048105598,1.000476842,0.184889051
65,130.0098,29.8174,0.065,11747-12703,,2,0.49,11.53,Sc?t,0.1,0.9,-1.496291529,-0.09026534,0.995337222,-0.060011248
66,133.65,1.435,0.051,12511-12701,,2,0.7,10.55,SBc3t,0.04,0.96,-1.495456035,-0.350228903,0.566633243,-0.172684123
67,133.9486,0.7943,0.041,12511-12705,,2,0.92,11.2,SBc2m,0.05,0.95,-1.556847707,-0.098215055,0.630858522,-0.081116237
68,134.6192,0.0235,0.028,12511-6101,,2,0.69,10.56,SBb,0.13,0.87,-1.418626036,-0.032946012,0.615128528,-0.056229509
69,144.5367,1.4492,0.046,11752-12704,,2,0.74,10.52,Ei,0,1,-1.48296194,-0.323390509,0.84546948,-0.124596376
70,145.8298,36.2478,0.022,11751-12704,,2,0.6,11.08,Ei,0,1,-0.971744846,0.166950475,0.278406398,-0.075656317
71,146.2999,-0.12,0.031,12512-6101,,2,0.82,10.66,Sc?t,0.06,0.94,-1.601861415,-0.260009125,0.917067312,-0.071021378
