RA,DEC,PLATEIFU,LOG_MASS,Z,GZ2_CLASS,ELLIP,LOG_OI_HA_CEN_2.5_ARCSEC,LOG_OIII_HB_CEN_2.5_ARCSEC,LOG_NII_HA_CEN_2.5_ARCSEC,LOG_SII_HA_CEN_2.5_ARCSEC,EDGE_ON,FACE_ON,OIII_LUM,LOGSFRSED,LOGSFRSEDERR,GLOBAL_AV,GLOBAL_AV_ERR,AV_MEAN_CEN,AV_MEAN_OUTER,AV_MEAN_CEN_ERR,AV_MEAN_OUTER_ERR,SF_AV,LINER_AV,COMP_AV,AGN_AV,SEYFERT_AV,SF_ERR,LINER_ERR,COMP_ERR,AGN_ERR,SEYFERT_ERR,EWHA_MEAN_CEN,EWHA_MEAN_OUTER,EWHA_MEAN_CEN_ERR,EWHA_MEAN_OUTER_ERR,SEYFERT_CEN,LINER_CEN,SEYFERT_OUTER,LINER_OUTER,OIII_MEAN_CEN,OIII_MEAN_OUTER,OIII_MEAN_CEN_ERR,OIII_MEAN_OUTER_ERR,DUST_OIII_MEAN_CEN,DUST_OIII_MEAN_OUTER,DUST_OIII_MEAN_CEN_ERR,DUST_OIII_MEAN_OUTER_ERR,DN_MEAN_CEN,DN_MEAN_OUTER,DN_MEAN_CEN_ERR,DN_MEAN_OUTER_ERR,OIII_OII_MEAN_CEN,OIII_OII_MEAN_OUTER,OIII_OII_MEAN_CEN_ERR,OIII_OII_MEAN_OUTER_ERR,OIII_HB_MEAN_CEN,OIII_HB_MEAN_OUTER,OIII_HB_MEAN_CEN_ERR,OIII_HB_MEAN_OUTER_ERR,NII_HA_MEAN_CEN,NII_HA_MEAN_OUTER,NII_HA_MEAN_CEN_ERR,NII_HA_MEAN_OUTER_ERR,SII_HA_MEAN_CEN,SII_HA_MEAN_OUTER,SII_HA_MEAN_CEN_ERR,SII_HA_MEAN_OUTER_ERR,OI_HA_MEAN_CEN,OI_HA_MEAN_OUTER,OI_HA_MEAN_CEN_ERR,OI_HA_MEAN_OUTER_ERR
141.2924911,4.465048144,10842-12705,11.00041631,0.06476798,SBc?t,0.727079534,-1.835250108,-0.449692505,-0.306853866,-0.551957023,0,1,4.092240363,0.5,0.062,0.452406541,0.018339055,1.219497844,1.272944841,0.36262134,0.239126561,0.894545446,,1.180464054,,,0.015648728,,0.174427417,,,4.053537241,10.59488808,0.128162599,0.306771678,,,,TRUE,4.298672837,4.135728212,0.018790508,0.012016609,3.812224923,3.629087706,0.012455615,0.008007826,1.618204483,1.483315769,0.033874358,0.055517662,-0.073816725,-0.137244848,0.028443103,0.012148221,-0.293050808,-0.527757616,0.006632733,0.010507537,-0.285955976,-0.401388749,0.025590527,0.038574132,-0.788956705,-0.786682002,0.044471385,0.048091158,-1.901480406,-1.922042947,0.003397196,0.132111847
240.9673048,39.98442549,8314-12702,11.26076885,0.0310849,99,0.678021577,-1.167381704,0.609671676,0.207644194,0.117461056,0.1,0.9,3.967873428,,,-1.095954514,0.033987305,-0.736347937,-0.405985175,0.850389603,1.365362526,,-0.683649693,,-0.479271452,,,0.090510451,,0.082117287,,1.028669455,1.106402088,0.011307619,0.01611636,,TRUE,,TRUE,3.641636611,3.139684417,0.036099676,0.023128802,3.868213261,3.229898667,0.019843627,0.007392818,1.94085124,1.837258567,0.04088772,0.064326904,0.141928305,-0.010548148,0.008423253,0.008282914,0.21308471,0.190108411,0.010944493,0.007843738,0.17416628,0.090464079,0.0617211,0.078980229,-0.22062111,-0.281971805,0.071470445,0.123540856,-1.44083023,-1.219182291,0.298239381,0.201819775
133.5057678,0.558987868,10839-3703,11.03038025,0.057596482,Er,0.398185535,,,,,0,1,2.553457847,-2.437,0.411,-4.816834324,0.059367353,-7.319835964,-6.117088171,1.747015738,1.772020239,,,,,,,,,,,0.195459,0.451296571,0.027293257,0.019050683,,TRUE,,TRUE,1.489155943,1.385026567,0.152944732,0.121236076,4.100080411,3.504083326,0.033769487,0.029564854,1.945542432,1.883121471,0.023204646,0.068576369,0.61776825,0.02758654,,0.089165076,-0.245772586,-0.08862896,0.027406475,0.033943332,-0.468625294,-0.15248144,0.175490857,0.236989523,,-0.003612361,,0.282584257,-0.54177273,-0.345105997,0.358645344,0.357342425
146.020927,0.73355575,12512-3702,11.20672716,0.03617733,Er,0.479054847,,,0.164223557,,0.25,0.75,1.440250906,-0.666,0.653,-7.458171434,0.078646552,-8.336001206,-7.44473795,2.520125263,2.403772303,,,,,,,,,,,0.176425096,0.296935384,0.021121436,0.018068656,,,,,0.953620602,0.575762186,0.160698622,0.084309563,3.948907723,3.167814829,0.023012007,0.020097308,2.043581098,1.942170356,0.055562319,0.078990734,0.572880322,0.261606148,,0.059145544,-0.350466446,-0.308120404,0.028912783,0.02048288,-0.004168459,-0.189862863,0.259376553,0.255805143,-0.218706926,-0.006836199,0.302920128,0.257140058,-0.457964522,-0.203002237,0.381022906,0.287390565
204.2266104,36.23365651,8446-3702,10.40086457,0.0417461,Ec,0.814355049,-0.830131533,0.427849458,-0.605165867,-0.477162721,0.4,0.6,2.954719244,,,-2.928200088,0.058271388,-1.238383732,-4.30026275,1.450400581,2.245275664,,,,,,,,,,,0.760610478,1.182985682,0.031146787,0.113892144,,,,,3.298726731,1.652646709,0.077311017,0.183828253,3.683151803,3.138828923,0.022019979,0.013154505,1.703067391,1.604668288,0.038291927,0.126827663,0.388457112,0.099624756,0.028260022,0.031594534,0.585118029,0.033654984,0.019305835,0.026950579,-0.048022856,-0.072040957,0.245371571,0.275125331,-0.380969432,-0.142791704,0.191463408,0.181184837,,,,
146.6957235,-0.286951227,12512-6102,11.41588489,0.12096673,Er,0.52669845,,,,,0.17,0.83,2.796751395,-0.871,0.788,-3.13255059,0.045607823,0,0,,,,,,,,,,,,,0,0,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
125.7404925,25.73873355,9508-12702,11.13674809,0.0279149,Ser,0.87993343,-0.998570375,0.379006616,0.06528745,0.047515236,0.71,0.29,4.337509527,0.071,0.057,0.346289198,0.029036426,0.465272668,0.724739232,0.845871967,1.109015471,1.381515393,0.137197556,1.218216017,0.412530856,,0.029195019,0.174799604,0.040183236,0.129144987,,2.851596966,4.749696168,0.179264304,0.125088062,,TRUE,,TRUE,3.886936266,3.351955127,0.031332222,0.021160484,3.675449232,3.013114771,0.021467898,0.011495854,1.799801448,1.591487905,0.139976342,0.131839871,0.0148181,-0.145813087,0.016725482,0.008184518,0.025427674,-0.094752099,0.015700393,0.008594124,-0.077672048,-0.291027754,0.134913009,0.115643236,-0.479466472,-0.486367346,0.19637434,0.184646287,-1.681203748,-1.51836492,0.286256302,0.446219597
154.8584485,44.40468135,8454-12705,11.05697392,0.0234362,99,0.24932061,-1.514424997,-0.149283335,-0.058149737,-0.241391492,0.22,0.78,3.096272283,,,-2.33356523,0.020032138,-1.66635696,-2.114853539,0.993029589,1.382298286,,-2.073938207,-0.619940548,-2.051927637,,,0.068808652,0.068691583,0.06881697,,1.535196167,1.090501072,0.026393214,0.007319466,,TRUE,,TRUE,2.80100293,1.975948173,0.038967679,0.016757915,3.366624347,2.681051025,0.02094913,0.006306471,2.045404706,2.113637633,0.043245432,0.072766301,0.276541969,-0.051881471,0.010769828,0.010754962,-0.082585739,0.013137751,0.009424494,0.006931317,-0.028371591,0.066888704,0.068656017,0.114235144,-0.296839486,-0.126183024,0.152930972,0.142202438,-1.198410189,-0.82266964,0.323478321,0.282422802
186.4008708,45.08385967,8464-1902,10.93831298,0.0383813,99,0.519393814,-1.414242673,0.073363617,0.041140136,-0.036171152,0.06,0.94,4.838465591,0.211,0.207,0.522842576,0.026900366,0.226712886,0.619030687,1.081726514,0.835535774,,0.360021346,,0.582517917,,,0.074172737,,0.059480453,,3.21355427,2.283343946,0.061573645,0.038907138,,TRUE,,TRUE,4.293549247,3.604522219,0.0527189,0.025517809,4.169031742,3.323058052,0.023905625,0.016255865,1.688191124,1.704227345,0.017070873,0.039686289,-0.050764401,-0.162466438,0.009930602,0.011319439,0.061845599,0.096753039,0.017173703,0.011258127,0.050474132,0.004647971,0.035188255,0.098384878,-0.327476557,-0.408596681,0.089570188,0.161801249,-1.481159527,-1.339120502,0.144954373,0.236586998
251.5082608,21.97486976,11978-6104,11.31873167,0.0310165,Ec,0.832600806,-0.694086796,0.006138147,0.088424535,-0.474443635,0.69,0.31,2.643853426,-0.924,0.392,-4.625084373,0.070984373,-3.942129393,-5.359044251,2.095796894,2.494197948,,,,,,,,,,,0.60800727,1.219372888,0.03399023,0.096839181,,TRUE,,TRUE,2.346293589,1.115231721,0.088142825,0.09027777,3.697784899,3.022622044,0.03252352,0.016457326,2.010392975,2.099342047,0.034884153,0.271814833,0.26927038,0.100477787,0.026144203,0.044538661,-0.29488305,-0.069528328,0.019548249,0.01810772,-0.232368133,-0.072345323,0.287053695,0.253847765,-0.583459289,-0.062625703,0.295261617,0.255713789,-1.00823185,-0.289021167,0.491436025,0.307209933
