_RAJ2000_1,_DEJ2000_1,Source,RAJ2000_1,DEJ2000_1,Link,Speak,e_Speak,SpeakTot,e_SpeakTot,Maj,Min,e_Min,DCMaj,DCMin,PA,e_PA,DCPA,Islrms,SCode,Mosaic,Npoint,MaskFract,_RAJ2000_2,_DEJ2000_2,ID,RAJ2000_2,DEJ2000_2,z,IR,WISE,logLIR,e_logLIR,Xray,BAT,logLX,Rad,NVSS,FIRST,Class,logLRad,e_logLRad,Broad,logLBr,e_logLBr,DR15,Sloan,Simbad,NED,recno,Separation
241.4529,30.71704,ILTJ160548.69+304301.3,241.4529,30.71704,https://vo.astron.nl/getproduct/LoTSS-DR2/P240+30    ,3.594,0.097,5.117,0.214,7.19,7.13,0.19,3.96,3.86,50.65,140.68,50.65,0.091,S,P240+30    ,3,1,241.45277,30.717058,9032-12702 ,241.45277,30.717058,0.05573,0,1,0,0,0,0,0,0,0,0,,0,0,1,45.002254,5.7550616,0,Sloan,Simbad,NED,285,0.383987165
239.17856,29.81323,ILTJ155642.85+294847.6,239.17856,29.81323,https://vo.astron.nl/getproduct/LoTSS-DR2/P240+30    ,1.686,0.112,3.436,0.321,9.1,8.06,0.51,6.84,5.38,17.26,23.56,17.26,0.103,S,P240+30    ,3,0.88,239.17853,29.813179,9887-1901  ,239.17853,29.813179,0.086089,1,1,44.866802,43.927673,0,0,0,0,0,0,,0,0,1,45.434765,5.8072996,0,Sloan,Simbad,NED,391,0.208464652
125.38822,55.15196,ILTJ082133.17+550907.0,125.38822,55.15196,https://vo.astron.nl/getproduct/LoTSS-DR2/P124+54    ,4.052,0.08,6.564,0.195,7.81,7.47,0.15,5,4.44,99.39,19.11,99.39,0.074,S,P124+54    ,4,1,125.38826,55.15197,10494-12704,125.38826,55.15197,0.079898,0,1,0,0,0,0,0,1,1,1,LERG,44.609985,45.751457,0,0,0,0,Sloan,Simbad,NED,14,0.088627825
124.92398,54.62727,ILTJ081941.76+543738.1,124.92398,54.62727,https://vo.astron.nl/getproduct/LoTSS-DR2/P124+54    ,1.478,0.065,1.676,0.122,6.71,6.08,0.25,3.01,0.99,92.59,19.31,92.59,0.063,S,P124+54    ,4,0.82,124.924095,54.627277,10494-6102 ,124.924095,54.627277,0.080951,0,1,0,0,0,0,0,1,1,1,LERG,44.67475,45.81687,0,0,0,0,Sloan,Simbad,NED,15,0.24007291
124.51846,54.62193,ILTJ081804.43+543718.9,124.51846,54.62193,https://vo.astron.nl/getproduct/LoTSS-DR2/P124+54    ,135.536,0.456,2379.914,12.043,95.51,27.37,0.22,95.32,26.71,71.16,0.7,71.16,0.456,M,P124+54    ,6,0.63,124.51605,54.619083,10494-12702,124.51605,54.619083,0.117743,0,1,0,0,0,0,0,1,2,1,LERG,46.76829,47.930885,0,0,0,0,Sloan,Simbad,NED,13,11.41083692
118.73624,53.8445,ILTJ075456.70+535040.2,118.73624,53.8445,https://vo.astron.nl/getproduct/LoTSS-DR2/P119+54    ,11.774,0.095,143.111,1.035,47.52,11.4,0.11,47.14,9.69,112.62,0.83,112.62,0.095,M,P119+54    ,1,1,118.72692,53.846275,8712-6101  ,118.72692,53.846275,0.035168,0,1,0,0,0,0,0,1,1,0,,44.296806,45.435127,0,0,0,1,Sloan,Simbad,NED,204,20.78998575
130.40771,54.91858,ILTJ084137.85+545506.8,130.40771,54.91858,https://vo.astron.nl/getproduct/LoTSS-DR2/P128+54    ,2.185,0.075,2.823,0.154,7.07,6.58,0.22,3.75,2.69,135.06,21.02,135.06,0.071,S,P128+54    ,4,0.92,130.40778,54.91857,8723-6104  ,130.40778,54.91857,0.044859,1,1,44.60522,43.661102,0,0,0,0,0,0,,0,0,1,45.01349,5.756412,0,Sloan,Simbad,NED,216,0.129237897
126.8788,54.90471,ILTJ082730.91+545416.9,126.8788,54.90471,https://vo.astron.nl/getproduct/LoTSS-DR2/P128+54    ,13.751,0.088,25.021,0.56,13.42,6.16,0.03,12,1.38,40.51,0.53,40.51,0.088,M,P128+54    ,3,1,126.87885,54.904694,8723-9102  ,126.87885,54.904694,0.030844,0,1,0,0,0,0,0,1,1,1,,44.0653,45.201275,0,0,0,0,Sloan,Simbad,NED,217,0.123434765
226.09222,47.68628,ILTJ150422.13+474110.5,226.09222,47.68628,https://vo.astron.nl/getproduct/LoTSS-DR2/P225+47    ,16.143,0.162,36.963,0.96,13.01,6.56,0.06,11.55,2.66,38.02,0.93,38.02,0.162,M,P225+47    ,5,1,226.09254,47.686684,9034-6104  ,226.09254,47.686684,0.093611,0,1,0,0,0,0,0,1,1,1,LERG,45.034256,46.179962,0,0,0,1,Sloan,Simbad,NED,289,1.649873182
224.8354,47.56713,ILTJ145920.50+473401.6,224.8354,47.56713,https://vo.astron.nl/getproduct/LoTSS-DR2/P225+47    ,1.808,0.094,2.182,0.186,7.07,6.14,0.3,3.74,1.33,23.77,15.83,23.77,0.091,S,P225+47    ,4,1,224.83553,47.56705,8597-3701  ,224.83553,47.56705,0.124964,0,1,0,0,0,0,0,1,1,1,,44.961994,46.10698,0,0,0,1,Sloan,Simbad,NED,173,0.413627841
